Player ID,Name,Member ID,Height,Year of Birth,Play R or L,Career,This Year,History
38CBD70E-A643-4170-9E6A-28863412DC7B,SHI Yu Qi,57945,184 cm,1996,Right handed,319 / 111 (430),43 / 7 (50),: W | : W | : L | : W | : L
F234895B-8D83-4177-A13E-A18C4DFD929F,Yushi TANAKA,86672,,1999,,90 / 28 (118),28 / 8 (36),: W | : L | : L | : L | : L
38860356-E3F7-4243-AF7B-5D7F3FE03779,Chico  Aura DWI WARDOYO,71408,,1998,,153 / 107 (260),13 / 12 (25),: W | : L | : L | : L | : L
A98B009F-04EE-467B-AD3C-5054D4AFAA12,NG Tze Yong,81362,180 cm,2000,Right handed,149 / 73 (222),1 / 2 (3),: L | : L | : L | : W | : L
940CFF46-1E04-48E9-B334-93865F957CD6,Takuma OBAYASHI,74076,,1999,,134 / 58 (192),11 / 13 (24),: W | : L | : W | : L | : L
9CB30E0C-94A5-4B00-AB15-04C098FFAEDB,CHI Yu Jen,77848,182 cm,1997,Right handed,166 / 114 (280),14 / 14 (28),: W | : W | : L | : W | : L
095A87AF-A640-4EFC-BEF2-AB219F42BADC,Priyanshu RAJAWAT,69093,176 cm,2002,Right handed,104 / 55 (159),10 / 12 (22),: W | : W | : L | : L | : L
21A8C5FA-2F36-467A-8399-6C2CCFC11E18,Kantaphon WANGCHAROEN,92508,173 cm,1998,Right handed,182 / 184 (366),10 / 18 (28),: L | : W | : L | : L | : L
A4A5BB56-8FB4-4A40-A84A-A3706CEFA099,SU Li  Yang,94397,183 cm,2001,Right handed,187 / 113 (300),16 / 20 (36),: W | : L | : W | : L | : L
A9509AF9-8009-48A4-A4E2-486F125004C5,KIDAMBI Srikanth,93627,178 cm,1993,Right handed,327 / 201 (528),9 / 12 (21),: L | : W | : W | : L | : L
FF880BF1-D736-4A93-B2D4-34730B3D6A57,JEON Hyeok Jin,65580,177 cm,1995,Right handed,252 / 108 (360),21 / 17 (38),: L | : W | : L | : W | : L
5955AC97-E24C-4550-AE1D-64A5E1F97345,Kiran GEORGE,68317,,2000,,151 / 90 (241),9 / 14 (23),: L | : L | : L | : L | : L
45868E97-3B63-4B4D-AB9E-39515E2F80AB,Nhat NGUYEN,85095,175 cm,2000,Right handed,265 / 145 (410),8 / 9 (17),: W | : L | : W | : W | : L
9DBFAA48-08A2-4629-9BF8-5DEDFEA9BF03,Magnus JOHANNESEN,97030,178 cm,2002,Right handed,166 / 88 (254),11 / 12 (23),: W | : L | : W | : L | : L
E2CC18A9-82B2-402E-8847-73F760BC903F,Sathish Kumar KARUNAKARAN,79164,,2001,,163 / 82 (245),32 / 27 (59),: W | : L | : W | : L | : L
FDB397B3-F747-44A7-BA69-3D8ACFBD93C9,Jia Heng Jason TEH,82606,,2000,,142 / 83 (225),22 / 12 (34),: L | : W | : W | : W | : L
8EDC5150-9DCA-45B7-84F0-0FED91C1EC9A,Mads CHRISTOPHERSEN,83938,,1997,,175 / 88 (263),14 / 9 (23),: W | : W | : W | : W | : L
3135C995-9D91-4A89-83EF-6D81DB87F11A,Arnaud MERKLE,59543,,2000,,309 / 120 (429),9 / 11 (20),: L | : L | : L | : L | : L
943E5403-1C4F-4D68-82C2-52D9C14067D1,Alwi FARHAN,58089,,2005,,152 / 41 (193),16 / 9 (25),: W | : W | : L | : W | : L
E7929C2D-AB33-4262-9C2F-A443F9FBFE03,Julien CARRAGGI,70399,168 cm,2000,Right handed,251 / 153 (404),9 / 11 (20),: W | : W | : W | : W | : W
7BD1A150-A127-4824-A9F5-D16B3FB49909,Jason GUNAWAN,65634,,2004,,109 / 63 (172),19 / 13 (32),: W | : L | : W | : W | : L
EFBE7D9C-9DFA-462B-8E08-311DB08F7A88,Mark CALJOUW,76973,184 cm,1995,Right handed,290 / 194 (484),12 / 10 (22),: W | : L | : W | : W | : L
D5A6B9B2-89B9-4ABF-93B2-BEF5DCA6FBD7,Ygor COELHO,96429,178 cm,1996,Right handed,276 / 175 (451),10 / 13 (23),: L | : W | : L | : L | : L
94A159AC-E1CC-4385-82D1-F5C6196A037E,Justin HOH,68392,,2004,,211 / 52 (263),25 / 8 (33),: L | : W | : W | : L | : L
B8ECFF4D-C7A9-4778-AE13-900E7F626638,Kevin CORDON,54897,182 cm,1986,Left handed,532 / 165 (697),7 / 3 (10),: W | : W | : W | : L | : L
080ED059-FACB-4B84-BA6A-5D6437336CD7,Koo TAKAHASHI,86230,,2001,,65 / 34 (99),13 / 10 (23),: L | : L | : W | : W | : L
B7031DD3-B09C-47E9-ACBD-8B7E5D1678FE,CHEAM June Wei,92796,,1997,Right handed,216 / 147 (363),10 / 9 (19),: L | : W | : W | : L | : L
4F69D11D-2A70-44DE-9685-83E57A30CE64,Joakim OLDORFF,85563,183 cm,2002,Right handed,229 / 119 (348),27 / 14 (41),: L | : L | : L | : W | : L
D8430ED4-29D2-4D40-BBAB-097BA77C2D91,Ayush SHETTY,68322,,2005,,70 / 26 (96),19 / 10 (29),: L | : W | : W | : W | : L
4FDBDA65-F854-441D-9BDF-AE126F213422,LE Duc Phat,69345,180 cm,1998,Right handed,124 / 87 (211),24 / 10 (34),: W | : W | : W | : W | : L
23ECDCDE-2F04-4D19-B2D3-46AD6709308B,Jan LOUDA,61423,186 cm,1999,Left handed,293 / 155 (448),6 / 9 (15),: L | : W | : L | : L | : W
AC873DD7-89E0-4A52-8E12-1F5A0506E27A,ZHAO Jun Peng,95930,,1996,,140 / 91 (231),4 / 4 (8),: L | : L | : W | : L | : L
7E0F5DB7-EF7F-4B68-8D46-8473F7DEB1EA,Uriel Francisco CANJURA ARTIGA,74579,163 cm,2000,Right handed,165 / 114 (279),8 / 14 (22),: W | : W | : L | : L | : L
E4D8715E-ED16-4D41-9B06-A6430EAE301F,Ade Resky DWICAHYO,78890,174 cm,1998,Right handed,235 / 138 (373),9 / 11 (20),: L | : L | : W | : L | : L
DED48F68-8D0A-48AC-B191-733C65A9E28A,Yohanes Saut MARCELLYNO,84764,,2003,,80 / 35 (115),14 / 6 (20),: W | : W | : L | : W | : L
2DDBA2CA-65A3-4A4A-B999-8A709A7A8E83,Kalle KOLJONEN,92655,175 cm,1994,Left handed,303 / 215 (518),9 / 10 (19),: L | : L | : L | : W | : L
412CBC4A-85A3-4B84-8F8F-7837E9984C4C,Riku HATANO,62018,,2001,,112 / 53 (165),20 / 8 (28),: W | : W | : W | : W | : L
36AFB674-67BF-488D-A87C-3EBE6AA7F6F0,WANG Zheng Xing,89163,,2002,,47 / 13 (60),23 / 4 (27),: W | : W | : W | : W | : L
638FB7FF-AEC5-45EA-A2C2-0DBD6DA58BAB,Pablo ABIAN,14251,178 cm,1985,Right handed,574 / 309 (883),16 / 10 (26),: L | : L | : W | : L | : L
455A4370-6B13-48A8-9C06-727A505A1DBB,SOONG Joo Ven,87117,,1995,Left handed,248 / 166 (414),14 / 10 (24),: W | : L | : W | : W | : L
9EC5F4DC-9650-4FF1-A54A-007DB43E316C,Meiraba Luwang MAISNAM,91651,,2002,,169 / 73 (242),21 / 15 (36),: W | : L | : L | : W | : L
BD703441-50F7-4748-9BF6-677C441B0606,Panitchaphon TEERARATSAKUL,85845,,2004,,80 / 50 (130),21 / 12 (33),: L | : L | : W | : W | : L
E538ADF6-1701-42A7-8BB2-A3AEBD094781,Misha ZILBERMAN,52953,171 cm,1989,Right handed,377 / 372 (749),4 / 18 (22),: L | : L | : L | : L | : W
43D1EEC8-A9D4-4FD6-B045-18476871FE2A,Jonathan MATIAS,86470,186 cm,2000,Right handed,144 / 82 (226),9 / 8 (17),: L | : W | : L | : W | : L
97EF5690-6DEE-4D84-B5B0-A4B9EA27615E,NGUYEN Hai Dang,64648,169 cm,2000,Left handed,99 / 70 (169),13 / 9 (22),: W | : W | : L | : W | : L
FD42AFDD-9375-48A0-8FFB-C2092DB1F3CF,KUO Kuan Lin,59077,,2004,,72 / 37 (109),14 / 11 (25),: L | : W | : W | : L | : L
5AA8FBC8-5595-45FF-8C76-88E992C9AFE0,Dmitriy PANARIN,82989,,2000,,260 / 144 (404),14 / 18 (32),: L | : L | : L | : L | : L
FAB33451-6397-4D5F-A520-E578682807F6,S.Sankar Muthusamy SUBRAMANIAN,91814,,2004,,107 / 80 (187),16 / 19 (35),: W | : W | : L | : W | : L
69557ED8-A551-4D23-85F8-E081E21B75A4,Giovanni TOTI,69253,183 cm,2000,Right handed,178 / 151 (329),2 / 12 (14),: L | : L | : L | : W | : L
AAEF1EC9-4062-4F48-9345-6962240656DC,Viren NETTASINGHE,64666,185 cm,2003,Right handed,71 / 60 (131),24 / 18 (42),: W | : W | : L | : L | : L
1D99852C-5737-4201-A370-83BB6CE7A2ED,Shesar Hiren RHUSTAVITO,81887,170 cm,1994,Right handed,183 / 118 (301),12 / 8 (20),: L | : W | : W | : W | : L
39E40D58-5E98-405B-BF99-9F86560BD360,Mithun MANJUNATH,62720,,1998,,112 / 93 (205),8 / 9 (17),: L | : L | : L | : L | : L
AA9D1A0B-2529-4B20-8421-7F31183EFA29,Sameer VERMA,77003,170 cm,1994,Right handed,219 / 131 (350),14 / 9 (23),: W | : W | : W | : L | : L
20A85CE7-FC4D-406B-8177-B869D6D9C9CA,Luis Ramon GARRIDO,97943,171 cm,1996,Right handed,183 / 90 (273),3 / 7 (10),: W | : W | : L | : L | : L
B8AC1951-26B9-4EB4-B33C-9CDA6B637876,Howard SHU,46776,185 cm,1990,Right handed,302 / 237 (539),5 / 9 (14),: W | : L | : L | : L | : L
79FD1AB5-7FFC-4647-9013-CE92DBF25A8C,Ikhsan Leonardo Imanuel RUMBAY,90657,,2000,,175 / 61 (236),17 / 6 (23),: W | : L | : W | : W | : L
0E3B5A73-065A-460D-ADF8-7211D2905A51,Tharun MANNEPALLI,92160,,2001,,55 / 31 (86),26 / 7 (33),: W | : W | : W | : W | : L
812AB12F-2D63-428F-8845-8D8D5514597A,WANG Po-Wei,87029,,2002,,72 / 34 (106),11 / 8 (19),: W | : W | : L | : L | : L
DEA4E911-16AF-4839-8AEB-F69AF1CA5BF8,Fabian ROTH,57297,191 cm,1995,Right handed,262 / 145 (407),8 / 14 (22),: L | : W | : L | : L | : L
C27BE800-A5A0-4F26-A3CF-80A31B9BCEAC,Joran KWEEKEL,62286,,1998,,177 / 118 (295),14 / 8 (22),: W | : W | : W | : W | : L
5EBC7880-A4B4-4E30-B614-FBD76CA9C63E,Xiaodong SHENG,77143,,1998,,120 / 80 (200),20 / 13 (33),: W | : L | : W | : W | : L
0956321F-9DF2-46BC-AECE-B047CB30FEA9,LIAO Jhuo-Fu,64081,,2002,,98 / 56 (154),15 / 12 (27),: W | : L | : L | : L | : L
4B345CED-E3FC-4E31-8963-DE0B7B7BD77B,HUANG Yu Kai,98595,,2002,,121 / 57 (178),7 / 10 (17),: L | : L | : W | : W | : L
21637069-7CDA-4199-AD94-2B4F601FA3B0,Georges Julien PAUL,64839,182 cm,1996,Right handed,317 / 204 (521),20 / 16 (36),: W | : L | : L | : L | : L
6EDEE107-E3DE-455E-A215-3F168C382206,CHAN Yin Chak,57924,,1999,,134 / 89 (223),15 / 13 (28),: W | : L | : W | : W | : L
16EFA554-1313-4F8D-801B-EAA45F51B9BB,Chirag SEN,83657,,1998,,156 / 126 (282),5 / 10 (15),: W | : L | : L | : W | : L
7DA6A502-73D7-4955-97B8-11060FD7D927,Sholeh AIDIL,79110,,2000,,93 / 50 (143),11 / 5 (16),: W | : W | : W | : W | : L
8EAE272D-DC7A-4AF9-8D46-96B3E9B68D26,Raghu MARISWAMY,62932,,1998,,62 / 49 (111),9 / 11 (20),: W | : L | : L | : L | : L
A85821A0-CC3E-4673-9053-67CE0F9A4397,Adriano VIALE,55942,,2004,,78 / 78 (156),21 / 9 (30),: W | : W | : W | : W | : W
F765CDBC-E01B-4F87-92F5-2E4E05FBF128,Kai SCHAEFER,20808,173 cm,1993,Right handed,211 / 201 (412),9 / 13 (22),: W | : L | : L | : L | : L
9F87B1B8-F6CE-4814-B370-79E164E23330,Enogat ROY,85118,,2003,,160 / 107 (267),20 / 10 (30),: W | : W | : W | : W | : L
94ECC19D-4C42-486C-BDA4-860A2B58E21C,Tobias KUENZI,60427,187 cm,1998,Right handed,144 / 131 (275),11 / 11 (22),: W | : W | : L | : L | : W
4B93D582-6915-406F-8B55-3255E46890F6,Victor ørding KAUFFMANN,90360,,2003,,115 / 56 (171),14 / 10 (24),: L | : W | : W | : W | : L
4E8FF52A-BA49-48DF-83CD-41E3BF3208F0,Daniil DUBOVENKO,94119,182 cm,2005,Right handed,153 / 66 (219),14 / 11 (25),: W | : L | : W | : L | : L
22987189-504B-4811-862A-688AF7B68532,Lucas CLAERBOUT,89506,175 cm,1992,Right handed,250 / 205 (455),7 / 6 (13),: W | : L | : L | : L | : W
4F9683EE-509C-4CB3-9DF7-532E04BAC1C4,Harry HUANG,63170,185 cm,2001,Right handed,122 / 58 (180),8 / 14 (22),: L | : L | : W | : W | : L
39F69AD3-2B15-4951-9543-554C2CC442E3,Fabio CAPONIO,87691,181 cm,1999,Right handed,196 / 194 (390),5 / 9 (14),: L | : W | : L | : W | : L
E5D335B1-2CB0-4635-93A0-431A069283CB,Victor LAI,94151,184 cm,2004,Right handed,61 / 42 (103),8 / 10 (18),: W | : L | : L | : L | : L
DCA1CEE5-DFC0-4F87-8AC3-6F5620A8580F,Somi ROMDHANI,87484,,1998,,36 / 25 (61),5 / 9 (14),: L | : L | : L | : W | : L
985029B4-A904-4A50-A90C-33028BCD4FA9,Matthias KICKLITZ,51998,180 cm,2002,Right handed,249 / 145 (394),14 / 16 (30),: W | : L | : W | : W | : L
B487E6E1-7C8E-45D8-A3A7-64C876B771AB,Anuoluwapo Juwon OPEYORI,79662,186 cm,1997,Right handed,184 / 93 (277),26 / 8 (34),: L | : L | : W | : W | : L
FA66928A-8649-4816-B2A1-670E8FDC1018,Jia Wei Joel KOH,75575,,2000,,95 / 88 (183),19 / 16 (35),: W | : W | : L | : W | : L
F4FD284E-8CFC-4D99-83F1-560E92128BC6,Shogo OGAWA,62395,,2001,,47 / 19 (66),17 / 8 (25),: W | : W | : W | : W | : L
1565F001-E779-44B5-9374-E19F606E47A5,Rithvik Sanjeevi SATISH KUMAR,86975,,2003,,53 / 35 (88),11 / 7 (18),: L | : W | : L | : W | : L
39EC811A-3BDF-4E29-93E9-CD1F0BD65990,Kento MOMOTA,89785,175 cm,1994,Left handed,390 / 116 (506),7 / 1 (8),: W | : W | : W | : W | : W
15BBA93C-B456-474B-A590-AC3F1687A7E6,Ravi RAVI,70824,,2002,,46 / 30 (76),5 / 5 (10),: W | : L | : W | : L | : L
05D98469-7B66-4928-931A-2112A6C1CA5C,Alap MISHRA,95439,,2000,,88 / 80 (168),11 / 11 (22),: L | : L | : W | : W | : L
031E2679-5348-475E-BB21-AF1C6E853D4E,Alvi Wijaya CHAIRULLAH,69712,,2002,,56 / 30 (86),5 / 3 (8),: W | : L | : L | : W | : L
D44B221D-0858-4D16-9950-B1F2596421DC,Collins Valentine FILIMON,86887,190 cm,1998,Right handed,224 / 170 (394),11 / 10 (21),: W | : L | : L | : L | : L
1514E566-99D6-45B2-AA2A-821445A98E67,CHENG Kai,64306,,2004,,44 / 13 (57),41 / 12 (53),: L | : L | : W | : W | : L
06F07DDF-F3CB-4CDB-8B2F-0B088B0ADAB8,Bharat RAGHAV,96974,,2004,,41 / 23 (64),16 / 13 (29),: W | : W | : L | : W | : L
1D44AF6A-46C6-47A6-BC7E-9688181B1D8F,Eogene EWE,75014,,2005,,100 / 43 (143),21 / 13 (34),: W | : W | : W | : W | : L
0992A6E9-C0F7-4575-9F5D-73196D2BA205,Karan Rajan RAJARAJAN,72555,,1996,,128 / 98 (226),8 / 9 (17),: W | : L | : L | : L | : L
0F686A55-F285-4552-AC01-8A8C6759DCBF,Saran JAMSRI,89690,,2000,,109 / 88 (197),14 / 9 (23),: L | : W | : W | : W | : L
BAEE293E-C4F0-4158-A69E-34165B9B6906,Yeison Esleiter DEL CID ALVAREZ,73177,,2004,,88 / 77 (165),21 / 9 (30),: W | : W | : W | : L | : L
43086EB1-A14E-4232-B0CF-3805CF5012BB,Vishal VASUDEVAN,60449,,1997,,32 / 25 (57),12 / 5 (17),: W | : L | : W | : W | : L
49F76A18-0B52-49D8-B3DE-1D4CD28E0939,HUANG Ping-Hsien,55920,,1999,,35 / 18 (53),17 / 8 (25),: W | : L | : L | : L | : L
B4EB012A-80CE-418F-8964-DFF0D5DD32A4,Ryoma MURAMOTO,63069,,1999,,40 / 22 (62),11 / 4 (15),: W | : W | : W | : L | : L
A3BE0D00-E9D7-46DB-962D-DA281D0932BE,Mark Shelley ALCALA,87610,172 cm,1999,Right handed,90 / 70 (160),7 / 8 (15),: W | : L | : L | : W | : L
94D292CA-AE2B-4386-8DD2-331432E2CC9F,Subhankar DEY,60967,,1993,,196 / 148 (344),15 / 14 (29),: L | : L | : L | : W | : L
F871DB05-D0AC-4BF5-BB25-88313BA2E54C,Luís Enrique PEÑALVER,71221,,1996,,280 / 191 (471),1 / 6 (7),: L | : L | : L | : L | : L
2DEF797D-95BC-419C-A5AB-77EBF2540FA8,CHO Geonyeop,89595,,1996,,29 / 27 (56),10 / 6 (16),: L | : W | : W | : L | : L
CC7033CF-6D16-4A8D-8CAD-3143988B649B,Gustav BJORKLER,79517,,2002,,152 / 70 (222),29 / 11 (40),: W | : W | : W | : W | : L
4EAB2C2C-3323-431A-A6B9-02176A5E58CC,Kartikey GULSHAN KUMAR,64794,,2000,,111 / 102 (213),8 / 9 (17),: W | : L | : L | : L | : L
52A3E618-368C-4EAB-B979-CC07AB3513B6,Kian-Yu OEI,57322,,2003,,207 / 111 (318),8 / 11 (19),: W | : L | : W | : L | : L
5D5BBB21-7F61-4E89-864A-4E6EAC00FA23,KOK Jing Hong,82372,,2002,,146 / 60 (206),15 / 9 (24),: L | : W | : L | : W | : L
2BBCAE5A-2CB9-42AE-A50C-EADB5DDA5181,Max WEISSKIRCHEN,84815,187 cm,1996,Right handed,262 / 150 (412),3 / 3 (6),: W | : L | : W | : L | : W
24F769F1-10AB-4AF4-80B6-604B5CC5E683,Mads Juel MØLLER,69875,,2003,,178 / 66 (244),15 / 6 (21),: L | : L | : L | : W | : L
FD2F687E-2210-4A66-A8C3-6C2E95106A02,Aria DINATA,91894,,2003,,80 / 40 (120),16 / 9 (25),: W | : W | : W | : W | : L
B51FD621-362E-40B2-9CC6-67222A2F767E,TAN Jia Jie,68316,,2002,,61 / 38 (99),28 / 14 (42),: W | : L | : W | : W | : L
94DEB8CF-DB5F-448B-9C24-6854818069D6,Enrico ASUNCION,88711,,1998,,64 / 76 (140),8 / 9 (17),: L | : L | : L | : W | : L
7BECFF67-C726-47B6-A2E9-A5EA2CF6D53D,Saneeth DAYANAND,82483,,2003,,48 / 29 (77),20 / 11 (31),: L | : W | : L | : W | : L
34F84264-44AD-4B01-8443-08F5C61FFB49,Markus BARTH,67447,189 cm,2000,Left handed,144 / 144 (288),6 / 17 (23),: L | : W | : L | : L | : L
8E442A7A-5600-4365-BA0C-BFE3D046DD23,ONG Zhen Yi,75283,,2003,,98 / 44 (142),12 / 8 (20),: L | : W | : W | : W | : L
DB73E403-3FF9-4F4D-AFEE-27AAD0227CD4,Krishna Adi NUGRAHA,68647,,1996,,133 / 60 (193),8 / 4 (12),: L | : W | : W | : W | : L
616BA537-A2C0-4DB3-91F9-E65F26D4D264,Prahdiska Bagas SHUJIWO,59614,,2005,,70 / 31 (101),19 / 7 (26),: W | : L | : L | : W | : L
23A72C68-DE7C-4C0F-BD44-602700E2FBE1,Moh. Zaki UBAIDILLAH,60321,,2007,,72 / 19 (91),24 / 6 (30),: W | : W | : W | : W | : W
E24022AB-3B4B-4888-8917-B8D76A3793F7,Jack YU,94332,,2004,,80 / 72 (152),14 / 14 (28),: L | : L | : W | : L | : L
02F2E3E5-17A5-41FC-B99B-8B7AE6496ADD,Edward LAU,99895,,2001,,106 / 72 (178),15 / 7 (22),: W | : L | : W | : L | : L
48D004A9-B4F8-41CE-8462-C7EB1FFAA1F5,Yanis GAUDIN,83581,,2002,,182 / 120 (302),5 / 7 (12),: W | : W | : L | : L | : L
B40FCBF4-EF24-442B-906F-60AD77187337,Luka WRABER,56274,178 cm,1990,Right handed,288 / 274 (562),3 / 8 (11),: W | : W | : L | : L | : W
7B5C25B7-F45E-4A15-B23C-0997325A1445,Adham Hatem ELGAMAL,72466,176 cm,1998,Right handed,289 / 199 (488),22 / 9 (31),: W | : L | : L | : L | : L
AFE338B1-0F8C-40B4-8438-E43A596C78AC,Grégoire DESCHAMP,75657,,2003,,150 / 92 (242),29 / 13 (42),: W | : W | : W | : W | : L
70946B6E-6B51-42C5-9104-2E372C272C89,Cholan KAYAN,77846,,2003,,163 / 102 (265),17 / 12 (29),: W | : W | : W | : L | : L
127BF81F-2D1C-4794-A028-5373DF3AD9D2,Julien SCHEIWILLER,74008,185 cm,1999,Right handed,154 / 122 (276),4 / 9 (13),: W | : W | : W | : L | : L
3FDD5785-3056-4AC9-9680-1E77F560995A,Darshan PUJARI,66356,,2004,,41 / 23 (64),21 / 10 (31),: W | : W | : W | : L | : L
754EFC17-1B00-48CF-922F-A1453605DE05,Ricky TANG,83265,,2004,,58 / 69 (127),9 / 16 (25),: L | : L | : W | : L | : L
2EBAEBB0-29F9-455D-8E1D-E83DAC39DEF2,Samuel O’Brien RICKETTS,81655,175 cm,1996,Right handed,172 / 129 (301),8 / 5 (13),: W | : W | : W | : W | : L
249D748E-F910-4F20-89C5-08A9B0A03EDE,TING Yen-Chen,86521,,2004,,58 / 49 (107),12 / 16 (28),: W | : L | : W | : L | : L
D8BDF8F7-86F8-46F0-96EC-CD440A2478A3,HUANG Yu,98462,,2004,,59 / 28 (87),11 / 9 (20),: L | : W | : L | : W | : L
1930B44F-F52B-40A9-97B6-F35E41DF464C,LIU Liang,92816,,2003,,75 / 19 (94),5 / 3 (8),: W | : W | : L | : L | : L
FE0CB9E6-4837-4A0B-8F2A-999068E47E8A,Jeppe BRUUN,99294,,1997,,119 / 87 (206),9 / 7 (16),: W | : W | : L | : W | : L
FBD9897B-184C-4790-96E9-69642CAD4338,Sacha LEVEQUE,86866,,2003,,151 / 84 (235),26 / 14 (40),: W | : W | : W | : L | : L
1BFFC9F5-2E84-4C77-ACBA-F291A24262EA,Prince DAHAL,90978,172 cm,2004,Left handed,62 / 70 (132),5 / 8 (13),: W | : L | : L | : L | : L
A0298D32-58BA-4883-8AC4-DF16AD49E5DE,LEE Yun Gyu,79686,,1997,,44 / 39 (83),6 / 5 (11),: W | : W | : L | : W | : L
