Rank,Name,Member ID,Country,Member Points,Tournaments Played,Profile Link
102,Daniil DUBOVENKO,94119,Israel,18160,14,/player-profile/4E8FF52A-BA49-48DF-83CD-41E3BF3208F0
103,Lucas CLAERBOUT,89506,France,17974,11,/player-profile/22987189-504B-4811-862A-688AF7B68532
104,Harry HUANG,63170,England,17946,16,/player-profile/4F9683EE-509C-4CB3-9DF7-532E04BAC1C4
105,Fabio CAPONIO,87691,Italy,17896,16,/player-profile/39F69AD3-2B15-4951-9543-554C2CC442E3
106,Victor LAI,94151,Canada,17337,13,/player-profile/E5D335B1-2CB0-4635-93A0-431A069283CB
107,Somi ROMDHANI,87484,UNITED ARAB EMIRATES,17030,14,/player-profile/DCA1CEE5-DFC0-4F87-8AC3-6F5620A8580F
108,Matthias KICKLITZ,51998,Germany,16997,18,/player-profile/985029B4-A904-4A50-A90C-33028BCD4FA9
109,Anuoluwapo Juwon OPEYORI,79662,Nigeria,16928,8,/player-profile/B487E6E1-7C8E-45D8-A3A7-64C876B771AB
110,Jia Wei Joel KOH,75575,Singapore,16743,17,/player-profile/FA66928A-8649-4816-B2A1-670E8FDC1018
111,Shogo OGAWA,62395,Japan,16660,9,/player-profile/F4FD284E-8CFC-4D99-83F1-560E92128BC6
112,Rithvik Sanjeevi SATISH KUMAR,86975,India,16650,13,/player-profile/1565F001-E779-44B5-9374-E19F606E47A5
113,Kento MOMOTA,89785,Japan,16547,5,/player-profile/39EC811A-3BDF-4E29-93E9-CD1F0BD65990
114,Ravi RAVI,70824,India,16440,12,/player-profile/15BBA93C-B456-474B-A590-AC3F1687A7E6
115,Alap MISHRA,95439,India,16370,16,/player-profile/05D98469-7B66-4928-931A-2112A6C1CA5C
116,Alvi Wijaya CHAIRULLAH,69712,Indonesia,16253,8,/player-profile/031E2679-5348-475E-BB21-AF1C6E853D4E
117,Collins Valentine FILIMON,86887,Austria,16220,16,/player-profile/D44B221D-0858-4D16-9950-B1F2596421DC
118,CHENG Kai,64306,Chinese Taipei,16140,11,/player-profile/1514E566-99D6-45B2-AA2A-821445A98E67
119,Bharat RAGHAV,96974,India,16030,19,/player-profile/06F07DDF-F3CB-4CDB-8B2F-0B088B0ADAB8
120,Eogene EWE,75014,Malaysia,15891,13,/player-profile/1D44AF6A-46C6-47A6-BC7E-9688181B1D8F
121,Karan Rajan RAJARAJAN,72555,Denmark,15780,13,/player-profile/0992A6E9-C0F7-4575-9F5D-73196D2BA205
122,Saran JAMSRI,89690,Thailand,15704,11,/player-profile/0F686A55-F285-4552-AC01-8A8C6759DCBF
123,Yeison Esleiter DEL CID ALVAREZ,73177,Guatemala,15702,10,/player-profile/BAEE293E-C4F0-4158-A69E-34165B9B6906
124,Vishal VASUDEVAN,60449,India,15590,11,/player-profile/43086EB1-A14E-4232-B0CF-3805CF5012BB
125,HUANG Ping-Hsien,55920,Chinese Taipei,15400,10,/player-profile/49F76A18-0B52-49D8-B3DE-1D4CD28E0939
126,Ryoma MURAMOTO,63069,Japan,15190,9,/player-profile/B4EB012A-80CE-418F-8964-DFF0D5DD32A4
127,Mark Shelley ALCALA,87610,U.S.A.,15020,14,/player-profile/A3BE0D00-E9D7-46DB-962D-DA281D0932BE
128,Subhankar DEY,60967,India,14780,17,/player-profile/94D292CA-AE2B-4386-8DD2-331432E2CC9F
129,Luís Enrique PEÑALVER,71221,Spain,14771,15,/player-profile/F871DB05-D0AC-4BF5-BB25-88313BA2E54C
130,CHO Geonyeop,89595,Korea,14694,9,/player-profile/2DEF797D-95BC-419C-A5AB-77EBF2540FA8
131,Gustav BJORKLER,79517,Sweden,14670,16,/player-profile/CC7033CF-6D16-4A8D-8CAD-3143988B649B
132,Kartikey GULSHAN KUMAR,64794,India,14620,17,/player-profile/4EAB2C2C-3323-431A-A6B9-02176A5E58CC
133,Kian-Yu OEI,57322,Germany,14536,17,/player-profile/52A3E618-368C-4EAB-B979-CC07AB3513B6
134,KOK Jing Hong,82372,Malaysia,14490,11,/player-profile/5D5BBB21-7F61-4E89-864A-4E6EAC00FA23
135,Max WEISSKIRCHEN,84815,Germany,14063,10,/player-profile/2BBCAE5A-2CB9-42AE-A50C-EADB5DDA5181
136,Mads Juel MØLLER,69875,Denmark,13750,12,/player-profile/24F769F1-10AB-4AF4-80B6-604B5CC5E683
137,Aria DINATA,91894,Croatia,13690,14,/player-profile/FD2F687E-2210-4A66-A8C3-6C2E95106A02
138,TAN Jia Jie,68316,Malaysia,13680,15,/player-profile/B51FD621-362E-40B2-9CC6-67222A2F767E
139,Enrico ASUNCION,88711,U.S.A.,13676,13,/player-profile/94DEB8CF-DB5F-448B-9C24-6854818069D6
140,Saneeth DAYANAND,82483,India,13660,16,/player-profile/7BECFF67-C726-47B6-A2E9-A5EA2CF6D53D
141,Markus BARTH,67447,Norway,13557,26,/player-profile/34F84264-44AD-4B01-8443-08F5C61FFB49
142,ONG Zhen Yi,75283,Malaysia,13380,10,/player-profile/8E442A7A-5600-4365-BA0C-BFE3D046DD23
143,Krishna Adi NUGRAHA,68647,Indonesia,12880,7,/player-profile/DB73E403-3FF9-4F4D-AFEE-27AAD0227CD4
144,Prahdiska Bagas SHUJIWO,59614,Indonesia,12840,11,/player-profile/616BA537-A2C0-4DB3-91F9-E65F26D4D264
145,Moh. Zaki UBAIDILLAH,60321,Indonesia,12810,6,/player-profile/23A72C68-DE7C-4C0F-BD44-602700E2FBE1
146,Jack YU,94332,Australia,12628,12,/player-profile/E24022AB-3B4B-4888-8917-B8D76A3793F7
147,Edward LAU,99895,New Zealand,12610,6,/player-profile/02F2E3E5-17A5-41FC-B99B-8B7AE6496ADD
148,Yanis GAUDIN,83581,France,12590,12,/player-profile/48D004A9-B4F8-41CE-8462-C7EB1FFAA1F5
149,Luka WRABER,56274,Austria,12503,14,/player-profile/B40FCBF4-EF24-442B-906F-60AD77187337
150,Adham Hatem ELGAMAL,72466,Egypt,12394,11,/player-profile/7B5C25B7-F45E-4A15-B23C-0997325A1445
151,Grégoire DESCHAMP,75657,France,12280,15,/player-profile/AFE338B1-0F8C-40B4-8438-E43A596C78AC
152,Cholan KAYAN,77846,England,12025,16,/player-profile/70946B6E-6B51-42C5-9104-2E372C272C89
153,Julien SCHEIWILLER,74008,Switzerland,11995,16,/player-profile/127BF81F-2D1C-4794-A028-5373DF3AD9D2
154,Darshan PUJARI,66356,India,11780,13,/player-profile/3FDD5785-3056-4AC9-9680-1E77F560995A
155,Ricky TANG,83265,Australia,11761,12,/player-profile/754EFC17-1B00-48CF-922F-A1453605DE05
156,Samuel O’Brien RICKETTS,81655,Jamaica,11680,9,/player-profile/2EBAEBB0-29F9-455D-8E1D-E83DAC39DEF2
157,TING Yen-Chen,86521,Chinese Taipei,11630,13,/player-profile/249D748E-F910-4F20-89C5-08A9B0A03EDE
158,HUANG Yu,98462,Chinese Taipei,11580,7,/player-profile/D8BDF8F7-86F8-46F0-96EC-CD440A2478A3
159,LIU Liang,92816,China,11470,6,/player-profile/1930B44F-F52B-40A9-97B6-F35E41DF464C
160,Jeppe BRUUN,99294,Denmark,11450,12,/player-profile/FE0CB9E6-4837-4A0B-8F2A-999068E47E8A
161,Sacha LEVEQUE,86866,France,11440,18,/player-profile/FBD9897B-184C-4790-96E9-69642CAD4338
162,Prince DAHAL,90978,Nepal,11230,9,/player-profile/1BFFC9F5-2E84-4C77-ACBA-F291A24262EA
163,LEE Yun Gyu,79686,Korea,11167,9,/player-profile/A0298D32-58BA-4883-8AC4-DF16AD49E5DE
164,Nathan TANG,64561,Australia,10837,12,/player-profile/36AA1BBF-4651-4B76-8A3A-6F66B15F95A3
165,PUI Pang Fong,98860,Macau China,10810,14,/player-profile/3DBD2B7B-3B99-4B39-BC3B-ABC525F5A530
166,Abhishek YELIGAR,95489,India,10810,12,/player-profile/78555BAB-251E-4006-A58A-EF8A4529FDB9
167,Minoru KOGA,80062,Japan,10800,3,/player-profile/8D6BECF8-51A1-423B-8BB7-61BF9ED23D5F
168,Andi Fadel MUHAMMAD,67660,Sweden,10770,6,/player-profile/C625E5F0-3EF8-4978-A3EC-D6C05B77E36B
169,Armando GAITAN FAUSTO,98728,Mexico,10695,8,/player-profile/09ADE865-FFD8-4155-999F-6ED4603C83B0
170,Siddharth Pratap SINGH,99595,India,10640,11,/player-profile/26A30E28-AEF9-490C-967A-E2EB16AF3BB4
171,Valentin SINGER,96339,France,10550,13,/player-profile/ECD2CE1A-9817-41B1-8902-A02B820E3150
172,Mikolaj SZYMANOWSKI,65546,Poland,10301,15,/player-profile/EE322189-D4F0-4B68-9E71-61935117225D
173,Dumindu ABEYWICKRAMA,87857,Sri Lanka,10300,17,/player-profile/99786CD8-B609-4567-8EF6-70E75E70232E
174,Job CASTILLO,93101,Mexico,10219,7,/player-profile/A854613F-DD95-4821-A7C6-E0D3D2A87DF3
175,Elias BRACKE,67251,Belgium,10200,15,/player-profile/E16B0C19-C96F-436A-A93C-CE96DC18060D
176,Siddhanth GUPTA,89814,India,10090,16,/player-profile/BAE2CDFC-3FFB-4C89-BAEE-4704822093B8
177,Wolfgang GNEDT,61916,Austria,9903,15,/player-profile/598DCB85-0197-47B6-B4B9-55D14B8574E4
178,Abhishek SAINI,98859,India,9860,11,/player-profile/D0575934-4EC7-4D83-973F-7746E30F9802
179,Joel KÖNIG,58631,Switzerland,9845,19,/player-profile/D1151CE2-B100-488F-89DC-7D0FAE07EC49
180,Brian HOLTSCHKE,57406,Germany,9840,17,/player-profile/14E61704-FF80-45C2-85C6-B78CF73FEF87
181,CHOI Ji Hoon,86607,Korea,9770,4,/player-profile/027374DF-E0F2-4048-A6F8-15A5F6463DB0
182,Ming Hong LIM,86723,Malaysia,9760,13,/player-profile/5F8B23CD-4B69-4BB5-A7AB-F09B00B7C51E
183,Jason Christ ALEXANDER,87811,Indonesia,9760,12,/player-profile/676DA628-5843-47D4-96C4-5F8C7819183A
184,Milan DRATVA,68819,Slovakia,9751,9,/player-profile/AD627ADC-20B1-4C4F-A1DD-9B224A46C25E
185,Nadeem DALVI,87999,England,9703,16,/player-profile/8EDEEC5B-8F05-4871-8CDC-B606B5235C30
186,Aryamann TANDON,73886,India,9590,15,/player-profile/1E03C565-9480-460E-A59C-E36A32D4BDC3
187,Keisuke FUJIWARA,93848,Japan,9550,6,/player-profile/E6FFCECA-DED6-431F-B486-8052EE2A0D91
188,Jakob HOUE,74452,Denmark,9390,9,/player-profile/BE1E9ABB-A575-4661-AECE-E43F38917841
189,Shashwat DALAL,60710,India,9380,15,/player-profile/EDB94061-3980-4635-85ED-178C0A0F8845
190,Pranay KATTA,71954,India,9270,10,/player-profile/5EDEDF22-3412-482D-BBA1-1D2DE54F48C6
191,Riki TAKEI,99466,Japan,9230,4,/player-profile/372313C2-30C7-4DD2-8FE0-0092F44A4A62
192,Gergo PYTEL,94426,Hungary,9100,15,/player-profile/472A702E-3AFA-44FB-ADBD-74FF8E2D9D30
193,Caden KAKORA,86616,South Africa,8922,9,/player-profile/58817A98-CFDB-4410-AC5F-0DB0091577F2
194,Adel HAMEK,98896,Algeria,8893,9,/player-profile/547CF118-7CF5-413B-86B1-DB3804A830E9
195,William BØGEBJERG,71510,Denmark,8890,9,/player-profile/8D53C121-9C82-4922-9D76-C05618947328
196,Rasindu HENDAHEWA,97018,Sri Lanka,8880,13,/player-profile/9E6347B2-B57C-4339-9586-157D94CC18D9
197,Korakrit LAOTRAKUL,75565,Thailand,8820,15,/player-profile/69C27F2B-9E6B-4424-9A8F-9825BD20508F
198,CHEN Chi Ting,76994,Chinese Taipei,8790,7,/player-profile/F2C01A0D-D582-4381-9B0C-0E61ED08710A
199,BHARGAV SOMASUNDARA,91347,India,8730,12,/player-profile/26F45282-14CE-4A0B-A8C7-00187833D8B6
200,Keita MAKINO,78400,Japan,8630,5,/player-profile/9DCA5D87-1D5A-40F3-8237-AFA7297FF41B
